# Dependencies for a3-modular-kalah-OverCry
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun May 16 20:50:15 NZST 2021
# Tool	mete-analysis(dependencies):20170202T1945
# System	a3-modular-kalah-OverCry
# Codebase	./submissions/a3-modular-kalah-OverCry/a3-modular-kalah-OverCry

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.Interface.IStore	kalah.Interface	Interface	public,abstract	int*		Primitive	Return	Method	kalah.Interface.IStore#public abstract int getNumber() <>		To whole module	Public	None
kalah.Interface.IStore	kalah.Interface	Interface	public,abstract	int*		Primitive	Return	Method	kalah.Interface.IStore#public abstract int getAmount() <>		To whole module	Public	None
kalah.Interface.IStore	kalah.Interface	Interface	public,abstract	int*		Primitive	Parameter	Method	kalah.Interface.IStore#public abstract void addAmount(int) <>	0	To whole module	Public	None
kalah.Interface.IStore	kalah.Interface	Interface	public,abstract	void*		Primitive	Return	Method	kalah.Interface.IStore#public abstract void addAmount(int) <>		To whole module	Public	None
kalah.Interface.IStore	kalah.Interface	Interface	public,abstract	int*		Primitive	Return	Method	kalah.Interface.IStore#public abstract int takeAll() <>		To whole module	Public	None
kalah.House	kalah	Class	public	kalah.Storage	kalah	Class	Extends	Header			To whole module	Public	None
kalah.House	kalah	Class	public	kalah.Interface.IHouse	kalah.Interface	Interface	Implements	Header			To whole module	Public	None
kalah.House	kalah	Class	public	kalah.Storage	kalah	Class	InvokeSuper	Method	kalah.House#public <init>() {}	1	kalah.Storage#public <init>() {}	Private	None
kalah.House	kalah	Class	public	kalah.House	kalah	Class	Put	Method	kalah.House#public <init>() {}	2	kalah.House#int _amount*	Private	None
kalah.House	kalah	Class	public	kalah.Storage	kalah	Class	Put	Method	kalah.House#public <init>() {}	2	kalah.Storage#default int _amount	Private	Inherited
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.Singleton.Printer#public <init>() {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	Put	Method	kalah.Singleton.Printer#public <init>() {}	2	kalah.Singleton.Printer#private final int PLAYER_1	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	Put	Method	kalah.Singleton.Printer#public <init>() {}	3	kalah.Singleton.Printer#private final int PLAYER_2	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	Return	Method	kalah.Singleton.Printer#public static kalah.Singleton.Printer getInstance() {}		To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	InvokeSpecial	Method	kalah.Singleton.Printer#public static kalah.Singleton.Printer getInstance() {}	2	kalah.Singleton.Printer#public <init>() {}	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	PutStatic	Method	kalah.Singleton.Printer#public static kalah.Singleton.Printer getInstance() {}	3	kalah.Singleton.Printer#public static kalah.Singleton.Printer _instance	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	GetStatic	Method	kalah.Singleton.Printer#public static kalah.Singleton.Printer getInstance() {}	1,4	kalah.Singleton.Printer#public static kalah.Singleton.Printer _instance	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	0	To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	Parameter	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	1	To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	int*		Primitive	Parameter	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	2	To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	void*		Primitive	Return	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}		To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	int*		Primitive	Local	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	0,2,4	To whole module	Private	None
